Starting app on Galaxy Tab S4
05-10 23:37:27.043 E/Zygote  ( 8543): isWhitelistProcess - Process is Whitelisted
05-10 23:37:27.050 E/libpersona( 8543): scanKnoxPersonas
05-10 23:37:27.050 E/libpersona( 8543): Couldn't open the File - /data/system/users/0/personalist.xml - No such file or directory
05-10 23:37:27.053 W/SELinux ( 8543): SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SM-T830_8.1.0_0003, [-1 -1 -1 -1 0 1]
05-10 23:37:27.054 I/SELinux ( 8543): SELinux: seapp_context_lookup: seinfo=untrusted, level=s0:c512,c768, pkgname=org.torproject.android
05-10 23:37:27.062 W/zygote  ( 8543): Using default instruction set features for ARM CPU variant (cortex-a9) using conservative defaults
05-10 23:37:27.101 D/TimaKeyStoreProvider( 8543): TimaKeyStore is not enabled: cannot add TimaSignature Service and generateKeyPair Service
05-10 23:37:27.101 D/ActivityThread( 8543): Added TimaKeyStore provider
05-10 23:37:27.417 D/NetworkSecurityConfig( 8543): No Network Security Config specified, using platform default
05-10 23:37:27.419 I/System.out( 8543): (HTTPLog)-Static: isSBSettingEnabled false
05-10 23:37:27.419 I/System.out( 8543): (HTTPLog)-Static: isSBSettingEnabled false
05-10 23:37:27.506 I/zygote  ( 8543): Rejecting re-init on previously-failed class java.lang.Class<android.support.v4.view.ViewCompat$OnUnhandledKeyEventListenerWrapper>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v4.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, android.support.v4.view.OnApplyWindowInsetsListener) (ViewCompat.java:2203)
05-10 23:37:27.507 I/zygote  ( 8543):   at android.view.ViewGroup android.support.v7.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:637)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:518)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:466)
05-10 23:37:27.506 I/zygote  ( 8543): Rejecting re-init on previously-failed class java.lang.Class<android.support.v4.view.ViewCompat$OnUnhandledKeyEventListenerWrapper>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v4.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, android.support.v4.view.OnApplyWindowInsetsListener) (ViewCompat.java:2203)
05-10 23:37:27.507 I/zygote  ( 8543):   at android.view.ViewGroup android.support.v7.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:637)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:518)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:466)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:140)
05-10 23:37:27.507 I/zygote  ( 8543):   at void org.torproject.android.OrbotMainActivity.doLayout() (OrbotMainActivity.java:288)
05-10 23:37:27.507 I/zygote  ( 8543):   at void org.torproject.android.OrbotMainActivity.onCreate(android.os.Bundle) (OrbotMainActivity.java:179)
